title,title_id,year,thumbnail,topic,file,author,level,alttext
"Congruencia y semejanza de triángulos","Congruencia y semejanza de triangulos",2008,Logo-omslp.png,Geometría,Congruencia-y-semejanza-de-triángulos.pdf,"Desconocido",Básico,"¡Sé congruente! Por lo menos semejante..."
"Congruencia","Congruencia",2020,Logo-ommags.png,Geometría,Congruencia.pdf,"Mixtli Quetzali Melchor Fuentes",Intermedio,"'Por favor, sé congruente', exclamó el matemático."
"Congruencias con módulos","Congruencias con modulos",2022,Logo.png,Teoría de Números,Congruencias-con-módulos.pdf,"Emilio Toscano Oneto",Intermedio,"Dividiendo el infinito."
"Congruencias, órdenes y raíces primitivas","Congruencias, ordenes y raices primitivas",2019,Logo-ommgto.png,Teoría de Números,Congruencias-órdenes-y-raíces-primitivas.pdf,"Juan José Baldelomar Cabrera",Intermedio - Avanzado,"Dividiendo el infinito."
"Congruencias y el pequeño teorema de Fermat","Congruencias y el pequeno teorema de Fermat",2021,Logo-ommgto.png,Teoría de Números,Congruencias-y-el-pequeño-teorema-de-Fermat.pdf,"Jesús Liceaga",Básico,"Un teoremita congruente a uno mismo."
"Congruencias y funciones aritméticas","Congruencias y funciones aritmeticas",2021,Logo-ommgto.png,Teoría de Números,Congruencias-y-funciones-aritméticas.pdf,"Jesús Liceaga",Intermedio,"Congruencias que funcionan, ¿o funciones congruentes?"
"Conjugados armónicos","Conjugados armonicos",2011,Logo-acm.png,Geometría,Conjugados-armónicos.pdf,"Sofía Taylor",Avanzado,"Armonía y paz interior."
"Consejos para problemas de argumentación","Consejos para problemas de argumentacion",2022,Logo.png,Métodos de ataque de problemas,Consejos-para-problemas-de-argumentación.pdf,"José Eduardo Payán",Básico,"Aprendiendo a escribir."
"Conteo","Conteo",2020,Logo-ommgto.png,Combinatoria,Conteo-1.pdf,"Alfredo Arturo Elías Miranda",Básico,"Comencemos a contar."
"Conteo","Conteo",2017,Logo-ommags.png,Combinatoria,Conteo-2.pdf,"Marco Montoya Martín",Básico,"Comenzando a contar."
"Conteo","Conteo",2013,Logo-omslp.png,Combinatoria,Conteo.pdf,"Desconocido",Básico,"Comencemos a contar."
"Criterios de divisibilidad","Criterios de divisibilidad",2020,Logo-ommags.png,Teoría de Números,Criterios-de-divisibilidad-1.pdf,"Daniel Tzoali Arroyo Valdivia",Básico,"¿Cómo sé si puedo dividir?"
"Criterios de divisibilidad","Criterios de divisibilidad",2018,Logo-ommags.png,Teoría de Números,Criterios-de-divisibilidad-2.pdf,"Desconocido",Básico,"Divide sin dividir; reparte sin partir."
"Criterios de divisibilidad (Diapositivas)","Criterios de divisibilidad (Diapositivas)",2022,Logo-ommgto.png,Teoría de Números,Criterios-de-divisibilidad-(Diapositivas).pdf,"Jesús Liceaga",Básico,"¿Cómo saber si puedo dividir?"
"Criterios de divisibilidad","Criterios de divisibilidad",2014,Logo.png,Teoría de Números,Criterios-de-divisibilidad.pdf,"Desconocido",Básico,"¿Cómo sé si puedo partir?"
"Cuadriláteros cíclicos","Cuadrilateros ciclicos",2022,Logo.png,Geometría,Cuadriláteros-cíclicos-1.pdf,"Alfredo Hernández Estrada",Intermedio,"¿Ya dominas ángulos en circunferencias?"
"Cuadriláteros cíclicos","Cuadrilateros ciclicos",2020,Logo-ommags.png,Geometría,Cuadriláteros-cíclicos-2.pdf,"Mixtli Quetzali Melchor Fuentes",Intermedio,"4 buenos puntos; en un círculo."
"Cuadriláteros cíclicos","Cuadrilateros ciclicos",2017,Logo-ommags.png,Geometría,Cuadriláteros-cíclicos-3.pdf,"Gustavo Meza García",Básico - Intermedio,"Cuatro buenos puntos, en un círculo."
